States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
D & N Haveli,0,0,0,Use of Mobile Phones,2018
Daman & Diu,0,0,0,Use of Mobile Phones,2018
Delhi,244,37,225,Use of Mobile Phones,2018
Lakshadweep,0,0,0,Use of Mobile Phones,2018
Puducherry,0,0,0,Use of Mobile Phones,2018
Andhra Pradesh,15382,5530,16844,OverSpeeding,2019
Arunachal Pradesh,76,41,89,OverSpeeding,2019
Assam,6322,2426,6025,OverSpeeding,2019
Bihar,5130,3815,3847,OverSpeeding,2019
Chhattisgarh,12139,4440,11632,OverSpeeding,2019
Goa,2979,233,1228,OverSpeeding,2019
Gujarat,14464,6343,13398,OverSpeeding,2019
Haryana,7224,3640,5949,OverSpeeding,2019
Himachal Pradesh,1932,673,2903,OverSpeeding,2019
Jammu & Kashmir,5699,980,7401,OverSpeeding,2019
Jharkhand,3035,2195,1979,OverSpeeding,2019
Karnataka,33012,9140,38414,OverSpeeding,2019
Kerala,29281,2928,33334,OverSpeeding,2019
Madhya Pradesh,40066,9341,42042,OverSpeeding,2019
Maharashtra,20045,8175,17312,OverSpeeding,2019
Manipur,378,97,597,OverSpeeding,2019
Meghalaya,172,61,82,OverSpeeding,2019
Mizoram,32,27,31,OverSpeeding,2019
Nagaland,131,12,113,OverSpeeding,2019
Orissa,7632,3808,7731,OverSpeeding,2019
Punjab,1211,905,829,OverSpeeding,2019
Rajasthan,19889,9050,18781,OverSpeeding,2019
Sikkim,77,32,97,OverSpeeding,2019
Tamil Nadu,46878,8832,55415,OverSpeeding,2019
Telangana,20669,6739,21321,OverSpeeding,2019
Tripura,588,209,735,OverSpeeding,2019
Uttarakhand,983,591,932,OverSpeeding,2019
Uttar Pradesh,15934,8398,10307,OverSpeeding,2019
West Bengal,3862,2050,3903,OverSpeeding,2019
A & N Islands,40,3,38,OverSpeeding,2019
Chandigarh,282,99,259,OverSpeeding,2019
D & N Haveli,67,49,105,OverSpeeding,2019
Daman & Diu,61,27,66,OverSpeeding,2019
Delhi,2448,713,2093,OverSpeeding,2019
Lakshadweep,0,0,0,OverSpeeding,2019
Puducherry,908,121,1018,OverSpeeding,2019
